username,domain,name,slug,is_primary
ikuturso,mastodon.social,Democracy & Human Rights,democracy_human_rights,false
ikuturso,mastodon.social,Gaming,gaming,false
ikuturso,mastodon.social,Markets & Finance,markets_finance,false
ikuturso,mastodon.social,Movies,movies,false
ikuturso,mastodon.social,Politics,politics,false
ikuturso,mastodon.social,Poverty & Inequality,poverty_inequality,false
ikuturso,mastodon.social,Programming,programming,false
ikuturso,mastodon.social,Science,science,false
ikuturso,mastodon.social,Space,space,false
ikuturso,mastodon.social,Technology,technology,false
harrylyon,newsmast.social,Immigrants Rights,immigrants_rights,false
harrylyon,newsmast.social,Indigenous Peoples,indigenous_peoples,false
harrylyon,newsmast.social,LGBTQ+,lgbtq,false
catswhocode,mastodon.art,Technology,technology,true
harrylyon,newsmast.social,Black Voices,black_voices,true
_youssef_0k,newsmast.social,Democracy & Human Rights,democracy_human_rights,false
aclrian,det.social,US Politics,us_politics,false
aclrian,det.social,Academia & Research,academia_research,false
aclrian,det.social,AI,ai,false
aclrian,det.social,Books & Literature,books_literature,false
aclrian,det.social,Breaking News,breaking_news,false
aclrian,det.social,Business,business,false
aclrian,det.social,Climate change,climate_change,false
aclrian,det.social,Gaming,gaming,false
aclrian,det.social,Government & Policy,government_policy,false
aclrian,det.social,Law & Justice,law_justice,false
aclrian,det.social,LGBTQ+,lgbtq,false
aclrian,det.social,Markets & Finance,markets_finance,false
aclrian,det.social,Movies,movies,false
aclrian,det.social,Music,music,false
aclrian,det.social,Journalism & Comment,news_comment_data,false
aclrian,det.social,Politics,politics,false
aclrian,det.social,Programming,programming,false
aclrian,det.social,Puzzles,puzzles,false
aclrian,det.social,Science,science,false
aclrian,det.social,Social Media,social_media,false
aclrian,det.social,Social Media,social_media,false
aclrian,det.social,Space,space,false
aclrian,det.social,Space,space,false
aclrian,det.social,Technology,technology,false
aclrian,det.social,Technology,technology,false
aclrian,det.social,Ukraine Invasion,ukraine_invasion,false
aclrian,det.social,Weather,weather,false
aclrian,det.social,US Politics,us_politics,true
cmonster,thecanadian.social,Books & Literature,books_literature,false
cmonster,thecanadian.social,Music,music,false
cmonster,thecanadian.social,TV & Radio,tv_radio,false
cmonster,thecanadian.social,Movies,movies,false
cmonster,thecanadian.social,Visual Arts,visual_arts,false
_youssef_0k,newsmast.social,Disabled Voices,disabled_voices,false
sydney_aokay,mastodon.social,Academia & Research,academia_research,false
_youssef_0k,newsmast.social,Energy & Pollution,energy_pollution,false
sydney_aokay,mastodon.social,AI,ai,false
sydney_aokay,mastodon.social,Architecture & Design,architecture_design,false
sydney_aokay,mastodon.social,Biodiversity & Rewilding,biodiversity_rewilding,false
sydney_aokay,mastodon.social,Biology,biology,false
sydney_aokay,mastodon.social,Black Voices,black_voices,false
sydney_aokay,mastodon.social,Books & Literature,books_literature,false
sydney_aokay,mastodon.social,Chemistry,chemistry,false
sydney_aokay,mastodon.social,Climate change,climate_change,false
sydney_aokay,mastodon.social,Creative Arts,creative_arts,false
youronlyone,c.im,Biodiversity & Rewilding,biodiversity_rewilding,false
youronlyone,c.im,Books & Literature,books_literature,false
youronlyone,c.im,Disabled Voices,disabled_voices,false
youronlyone,c.im,Environment,environment,false
youronlyone,c.im,Food & Drink,food_drink,false
youronlyone,c.im,Immigrants Rights,immigrants_rights,false
youronlyone,c.im,Mental Health & Wellbeing,mental_health_wellbeing,false
youronlyone,c.im,Movies,movies,false
youronlyone,c.im,Photography,photography,false
youronlyone,c.im,Programming,programming,false
youronlyone,c.im,Science,science,false
youronlyone,c.im,Technology,technology,false
youronlyone,c.im,Travel,travel,false
youronlyone,c.im,Weather,weather,false
youronlyone,c.im,Breaking News,breaking_news,true
youronlyone,c.im,Social Media,social_media,false
youronlyone,c.im,Academia & Research,academia_research,false
youronlyone,c.im,Engineering,engineering,false
youronlyone,c.im,Biology,biology,false
youronlyone,c.im,Chemistry,chemistry,false
youronlyone,c.im,Mathematics,mathematics,false
youronlyone,c.im,Physics,physics,false
youronlyone,c.im,Space,space,false
youronlyone,c.im,Gaming,gaming,false
youronlyone,c.im,TV & Radio,tv_radio,false
youronlyone,c.im,Nature & Wildlife,nature_wildlife,false
youronlyone,c.im,Humour,humour,false
sithubo_pt,newsmast.social,Academia & Research,academia_research,false
