#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
activitypub.actor,suspend,false,false,Oliphant Tier 3,false
addy.gg,suspend,false,false,Oliphant Tier 3,false
adhd.stream,suspend,false,false,Oliphant Tier 3,false
aethy.com,suspend,false,false,Oliphant Tier 3,false
affiliates.social,suspend,false,false,Oliphant Tier 3,false
agates.io,suspend,false,false,Oliphant Tier 3,false
agdersam.no,suspend,false,false,Oliphant Tier 3,false
ai.wiki,suspend,false,false,Oliphant Tier 3,false
aillust.fun,suspend,false,false,Oliphant Tier 3,false
airen-no-jikken.icu,suspend,false,false,Oliphant Tier 3,false
airis.work,suspend,false,false,Oliphant Tier 3,false
akko.disqordia.space,suspend,false,false,Oliphant Tier 3,false
akko.saturno.black,suspend,false,false,Oliphant Tier 3,false
akm.longyap.name.my,suspend,false,false,Oliphant Tier 3,false
albin.social,suspend,false,false,Oliphant Tier 3,false
alive.bar,suspend,false,false,Oliphant Tier 3,false
alteregocreations.com,suspend,false,false,Oliphant Tier 3,false
ancreport.com,suspend,false,false,Oliphant Tier 3,false
ancreport.xyz,suspend,false,false,Oliphant Tier 3,false
anemoneya.me,suspend,false,false,Oliphant Tier 3,false
angrytoday.com,suspend,false,false,Oliphant Tier 3,false
animalliberation.social,suspend,false,false,Oliphant Tier 3,false
anime.website,suspend,false,false,Oliphant Tier 3,false
animeisgay.com,suspend,false,false,Oliphant Tier 3,false
anitwitter.moe,suspend,false,false,Oliphant Tier 3,false
anthro.cc,suspend,false,false,Oliphant Tier 3,false
anti-degeneracy.club,suspend,false,false,Oliphant Tier 3,false
anticom.world,suspend,false,false,Oliphant Tier 3,false
antivaxxer.icu,suspend,false,false,Oliphant Tier 3,false
aoq.me,suspend,false,false,Oliphant Tier 3,false
ap.maladaptive.art,suspend,false,false,Oliphant Tier 3,false
apathy.tv,suspend,false,false,Oliphant Tier 3,false
applied-langua.ge,suspend,false,false,Oliphant Tier 3,false
arachnid.town,suspend,false,false,Oliphant Tier 3,false
arasaka.vip,suspend,false,false,Oliphant Tier 3,false
archivefedifor.fun,suspend,false,false,Oliphant Tier 3,false
argentum.social,suspend,false,false,Oliphant Tier 3,false
aria.company,suspend,false,false,Oliphant Tier 3,false
ariona.fr,suspend,false,false,Oliphant Tier 3,false
artalley.masto.host,suspend,false,false,Oliphant Tier 3,false
artalley.social,suspend,false,false,Oliphant Tier 3,false
arthaus.social,suspend,false,false,Oliphant Tier 3,false
arumoon.ru,suspend,false,false,Oliphant Tier 3,false
asimon.org,suspend,false,false,Oliphant Tier 3,false
asphodel.rip,suspend,false,false,Oliphant Tier 3,false
aspiechattr.me,suspend,false,false,Oliphant Tier 3,false
asteroidm.space,suspend,false,false,Oliphant Tier 3,false
awoo.fyi,suspend,false,false,Oliphant Tier 3,false
awscommunity.social,suspend,false,false,Oliphant Tier 3,false
awwter.online,suspend,false,false,Oliphant Tier 3,false
azumanga.gay,suspend,false,false,Oliphant Tier 3,false
b10m.net,suspend,false,false,Oliphant Tier 3,false
babay.icu,suspend,false,false,Oliphant Tier 3,false
babyfurs.social,suspend,false,false,Oliphant Tier 3,false
badly.co,suspend,false,false,Oliphant Tier 3,false
bajax.us,suspend,false,false,Oliphant Tier 3,false
banana.dog,suspend,false,false,Oliphant Tier 3,false
baraag.net,suspend,false,false,Oliphant Tier 3,false
bark.lgbt,suspend,false,false,Oliphant Tier 3,false
based.directory,suspend,false,false,Oliphant Tier 3,false
bbad.com,suspend,false,false,Oliphant Tier 3,false
bbs.kawa-kun.com,suspend,false,false,Oliphant Tier 3,false
beagle.casa,suspend,false,false,Oliphant Tier 3,false
bearygoosey.com,suspend,false,false,Oliphant Tier 3,false
beef.moe,suspend,false,false,Oliphant Tier 3,false
beefyboys.club,suspend,false,false,Oliphant Tier 3,false
beehub.org,suspend,false,false,Oliphant Tier 3,false
beepboop.ga,suspend,false,false,Oliphant Tier 3,false
berserker.town,suspend,false,false,Oliphant Tier 3,false
bestgore.fun,suspend,false,false,Oliphant Tier 3,false
beta.birdsite.live,suspend,false,false,Oliphant Tier 3,false
beta.mstdn.cf,suspend,false,false,Oliphant Tier 3,false
bgzashtita.es,suspend,false,false,Oliphant Tier 3,false
bibly.com,suspend,false,false,Oliphant Tier 3,false
biendeo.com,suspend,false,false,Oliphant Tier 3,false
bigguys.club,suspend,false,false,Oliphant Tier 3,false
bigrelay.social,suspend,false,false,Oliphant Tier 3,false
bigzu.cc,suspend,false,false,Oliphant Tier 3,false
bikeshed.party,suspend,false,false,Oliphant Tier 3,false
binarydad.com,suspend,false,false,Oliphant Tier 3,false
birb.elfenban.de,suspend,false,false,Oliphant Tier 3,false
birb.stream,suspend,false,false,Oliphant Tier 3,false
bird.evilcyberhacker.net,suspend,false,false,Oliphant Tier 3,false
bird.istheguy.com,suspend,false,false,Oliphant Tier 3,false
bird.r669.live,suspend,false,false,Oliphant Tier 3,false
birdbots.leptonics.com,suspend,false,false,Oliphant Tier 3,false
birdbridge.autonomy.earth,suspend,false,false,Oliphant Tier 3,false
birdity.club,suspend,false,false,Oliphant Tier 3,false
birdmakeup.opiumpost.org,suspend,false,false,Oliphant Tier 3,false
birds.garden,suspend,false,false,Oliphant Tier 3,false
birdsite.am-institute.swiss,suspend,false,false,Oliphant Tier 3,false
birdsite.b93.dece.space,suspend,false,false,Oliphant Tier 3,false
birdsite.blazelight.dev,suspend,false,false,Oliphant Tier 3,false
birdsite.cloutier.co,suspend,false,false,Oliphant Tier 3,false
birdsite.darkesttimeline.social,suspend,false,false,Oliphant Tier 3,false
birdsite.frog.fashion,suspend,false,false,Oliphant Tier 3,false
birdsite.gabeappleton.me,suspend,false,false,Oliphant Tier 3,false
birdsite.gred.al,suspend,false,false,Oliphant Tier 3,false
birdsite.james.moody.name,suspend,false,false,Oliphant Tier 3,false
birdsite.jemverse.xyz,suspend,false,false,Oliphant Tier 3,false
birdsite.link,suspend,false,false,Oliphant Tier 3,false
birdsite.mastodon.me.uk,suspend,false,false,Oliphant Tier 3,false
birdsite.miisu.net,suspend,false,false,Oliphant Tier 3,false
birdsite.monster,suspend,false,false,Oliphant Tier 3,false
birdsite.nytpu.com,suspend,false,false,Oliphant Tier 3,false
birdsite.oliviaappleton.com,suspend,false,false,Oliphant Tier 3,false
